,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1416,0.518181562423706,0.03855740137726401,0.0070714155832926435,0.0002138770434573413,0.8,50,5,400,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 5, 'n_estimators': 400, 'subsample': 0.6}",-3833.8816458889214,-3591.074454178184,-3391.8075262724806,-3605.587875446529,180.76755121121184,1654,-6.636238861371992,-34.83082254704041,-68.13766595426334,-36.53490912089192,25.136750212970956
1417,0.6465723514556885,0.037230387964422455,0.007510185241699219,0.0002589744559219623,0.8,50,5,400,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 5, 'n_estimators': 400, 'subsample': 0.8}",-3510.2526527600526,-3493.8575048409584,-3277.0807987280336,-3427.0636521096817,106.26489683866419,1251,-0.4842812843574545,-23.81586936361696,-54.7764615353849,-26.35887072778644,22.23751111757098
1418,0.7099687258402506,0.02395687247826164,0.008453369140625,0.00019752582389897635,0.8,50,5,400,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 5, 'n_estimators': 400, 'subsample': 1}",-3363.034954809163,-3129.8202043674482,-3323.0240560576476,-3271.95973841142,101.8264973976289,904,-0.22507253469842356,-15.815017657417519,-39.51926112038841,-18.51978377083478,16.155394020742424
1419,0.02141292889912923,0.0004131138987450874,0.003143866856892904,4.2597304528960485e-05,0.8,50,10,20,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 20, 'subsample': 0.6}",-2966.6760306862175,-2738.1067714701917,-2670.816748653026,-2791.866516936478,126.62480369382304,76,-2007.702460050117,-1881.060577022056,-1977.321832394203,-1955.3616231554586,53.98289683829101
1420,0.02440468470255534,0.0007874671117784457,0.0031757354736328125,5.244594595818967e-05,0.8,50,10,20,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 20, 'subsample': 0.8}",-2993.6861749811005,-2909.917947192507,-2843.6121181820836,-2915.73874678523,61.4055747303811,278,-1788.805649122952,-1730.6025455872814,-1697.6440681602878,-1739.0174209568404,37.68922088623397
1421,0.03173398971557617,0.006182008391231157,0.0034182071685791016,0.0001641082032122376,0.8,50,10,20,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 20, 'subsample': 1}",-2883.156820787955,-2639.9822152723073,-2735.104710937622,-2752.747915665961,100.05643139994318,26,-1552.155397935978,-1521.0556944727778,-1525.6719438482596,-1532.9610120856717,13.702695007479036
1422,0.12237811088562012,0.09782362685636696,0.003515481948852539,0.00015309975620393548,0.8,50,10,58,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 58, 'subsample': 0.6}",-3429.4882892943615,-3133.3424944672647,-3179.934138077475,-3247.5883072797005,130.02153130994816,812,-1425.6109744976623,-1458.3371985500298,-1500.5500113215228,-1461.4993947897383,30.675336714433428
1423,0.0724482536315918,0.007658711539254312,0.003668626149495443,0.0001255510718317397,0.8,50,10,58,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 58, 'subsample': 0.8}",-3383.8444917592624,-3205.0009128028337,-3137.4928211698534,-3242.11274191065,103.93989383402948,799,-1040.3097403404527,-1047.6711688169396,-1083.736089635423,-1057.2389995976052,18.975765116902497
1424,0.110779603322347,0.041312927518948724,0.0037473042805989585,0.00010452170682849627,0.8,50,10,58,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 58, 'subsample': 1}",-3243.735770126346,-3026.953469071708,-3154.77797098961,-3141.822403395888,88.97387841905271,575,-870.1313724725583,-894.4833153411281,-897.3643428715125,-887.3263435617331,12.21543703614059
1425,0.0948038895924886,0.010872173219003693,0.003842512766520182,7.365174874880954e-05,0.8,50,10,96,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 96, 'subsample': 0.6}",-3649.3657947274005,-3286.957260745995,-3346.517932954905,-3427.6136628094337,158.67655660938468,1253,-1073.592340417707,-1106.2231526791682,-1164.1546718160607,-1114.6567216376452,37.449768856512804
1426,0.11405658721923828,0.008436045717792344,0.003920714060465495,0.00018700918010359688,0.8,50,10,96,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 96, 'subsample': 0.8}",-3534.4537298938076,-3415.9578029969043,-3270.3690688603806,-3406.926867250364,108.00106603988873,1195,-676.9665372427891,-697.6844674933509,-728.6158677173137,-701.0889574844845,21.222727576687866
1427,0.14913026491800943,0.016758731905576765,0.004161675771077474,6.550347677745772e-05,0.8,50,10,96,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 96, 'subsample': 1}",-3393.898623405285,-3211.6965433947203,-3291.903793575175,-3299.16632012506,74.56074797979564,951,-522.8794179083736,-532.9977092018579,-543.85187504014,-533.2430007167904,8.563726427259668
1428,0.21037801106770834,0.11615359512315593,0.0045049190521240234,0.0004913930114023475,0.8,50,10,134,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 134, 'subsample': 0.6}",-3717.767742756694,-3390.759254433651,-3390.379480604032,-3499.6354925981254,154.24287120527507,1454,-832.0209456691719,-853.5654853920967,-885.5318652926112,-857.0394321179598,21.983415857219104
1429,0.1610563596089681,0.01046119378570505,0.004296779632568359,0.00012435351765724978,0.8,50,10,134,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 134, 'subsample': 0.8}",-3615.982625674973,-3513.182048313149,-3364.4578329779038,-3497.874168988675,103.2535026440117,1436,-470.12825835077354,-457.90952277545637,-492.01501942652004,-473.3509335175833,14.108755009496956
