,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
581,0.4648982683817546,0.020858769031701474,0.04023305575052897,0.0019831151438108843,True,,sqrt,4,5,362,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 362}",-3077.134887105374,-2862.5560669986253,-2893.701005522701,-2944.4639865422337,94.67022654489703,1034,-2354.9293677933692,-2414.6283525713934,-2358.9027020322983,-2376.1534741323535,27.254162366113626
582,0.5163904031117758,0.03179386111724342,0.040427049001057945,0.00011145625867795265,True,,sqrt,4,5,400,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-3059.50842508185,-2831.1314420298527,-2950.8425065762353,-2947.1607912293125,93.27085242419838,1044,-2359.480251276242,-2379.3977872192045,-2378.6266662202797,-2372.501568238575,9.212841706875155
583,0.027682383855183918,0.0017692584378235284,0.0038286844889322915,7.531570417650932e-05,True,,sqrt,4,10,20,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 20}",-3045.6920294415204,-2903.8505953751283,-2897.9498737439253,-2949.164166186858,68.29800347167473,1051,-2361.564382644831,-2401.731305973732,-2364.9187549491326,-2376.0714811892317,18.195840355557586
584,0.07440527280171712,0.004424746180044321,0.007383982340494792,0.00028183902058025856,True,,sqrt,4,10,58,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 58}",-3216.989307104785,-2970.4340961934417,-2988.5170058781277,-3058.6468030587844,112.20816769538752,1183,-2483.1096225973197,-2557.5467560925454,-2475.1165263327975,-2505.257635007554,37.11770947363832
585,0.12439171473185222,0.010571477959008067,0.01230637232462565,0.0007742849397727995,True,,sqrt,4,10,96,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 96}",-3053.9764487624448,-2820.801281153919,-2886.4809188108434,-2920.419549575736,98.17174641400247,910,-2411.71596156121,-2446.545475679446,-2394.729990934927,-2417.663809391861,21.56762674611812
586,0.1978623867034912,0.02095145181830726,0.01868128776550293,0.00260552838688714,True,,sqrt,4,10,134,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 134}",-3098.851443041569,-2868.3328956198743,-2821.4119148119166,-2929.5320844911203,121.24954568972429,954,-2405.0629603178068,-2457.316979978962,-2322.228668824726,-2394.8695363738316,55.618596239040635
587,0.21060832341512045,0.003039844814198772,0.022320032119750977,0.0018512379109490728,True,,sqrt,4,10,172,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 172}",-3077.781161016384,-2905.039205208744,-2914.9983681660224,-2965.9395781303833,79.18838710542094,1098,-2394.0919643885936,-2480.3717965901324,-2401.378211781931,-2425.280657586886,39.068721912168364
588,0.3300793170928955,0.07409538419598924,0.03793605168660482,0.013788667770321127,True,,sqrt,4,10,210,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 210}",-3133.2446263452766,-2869.7077096528956,-2964.536935947114,-2989.1630906484293,108.98856893106284,1138,-2448.8637208016544,-2474.2979968578343,-2433.2495017898523,-2452.1370731497805,16.917069555782444
589,0.30782421429951984,0.0068706461065086745,0.026179075241088867,0.00021799890707716914,True,,sqrt,4,10,248,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 248}",-3168.595461425846,-2915.2812608245654,-2929.132338341285,-3004.3363535305657,116.28629607426846,1158,-2466.317740300357,-2505.909651553602,-2408.833276277006,-2460.3535560436553,39.8550229339335
590,0.34921423594156903,0.002567521323189275,0.029956738154093426,0.00039482622199679684,True,,sqrt,4,10,286,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 286}",-3218.0230332384413,-2807.2953106454374,-2896.200609767616,-2973.8396512171653,176.43729971203646,1113,-2509.93654207654,-2426.4831892609595,-2406.643272393853,-2447.6876679104503,44.755612881012816
